RESP_FINAL;filename;A1R;A2R;L*(D65);a*(D65);b*(D65);C*(D65);h(D65);Image_SkinCluster;DE2000_centroid_1;DE76_centroid_1;DE2000_centroid_2;DE76_centroid_2;DE2000_centroid_3;DE76_centroid_3;DE2000_centroid_4;DE76_centroid_4;DE2000_centroid_5;DE76_centroid_5;DE2000_centroid_6;DE76_centroid_6;closest_centroid_DE2000;closest_centroid_Euclidean;two_closest_clusters_DE2000;two_close_deltaE_DE2000;single_cluster;eval_cluster
2165;216503_81.jpg;5;5;63.9133333333333;11.64;16.9283333333333;20.5566666666667;55.5816666666667;1;2.70293556822052;3.55973976889073;3.58110984327504;4.02421593467458;4.85915445262592;5.52787908896551;10.3449572141496;11.7626717722727;17.4207517037033;18.3798407833752;26.0771847097554;26.2994711079055;1;1;[];FAUX;FAUX;1
4013;401303_81.jpg;1;1;63.9633333333333;12.075;16.0283333333333;20.1333333333333;53.24;2;2.9588927895039;3.5467175748226;2.99475287682537;3.38790085779118;5.38703752802684;6.12042527571047;10.2628862996186;11.593330218516;17.5080227504592;18.5195843785857;26.0838507185213;26.260530057272;1;2;[1. 2];VRAI;FAUX;2
3033;303303_81.jpg;1;1;63.9733333333333;13.6566666666667;16.3383333333333;21.3316666666667;50.0233333333333;2;3.93131949292098;4.78302815518928;2.52770784286776;3.14718789821431;6.13159483857442;6.76653468672604;10.3729272256533;11.9022151299664;17.5911589766647;18.5458573541371;26.1481588156076;26.4222013655184;2;2;[];FAUX;FAUX;2
2027;202703_81.jpg;1;1;63.9916666666667;11.4883333333333;14.1033333333333;18.2083333333333;50.8916666666667;1;3.09731777505465;3.44075815288821;2.85613797816077;3.47453833863819;5.91790239867197;7.10537238057702;10.1616962774378;11.3011629195111;17.669012696656;18.914324818331;26.0642843691358;26.1476770797459;2;1;[2. 1];VRAI;FAUX;2
3083;308303_81.jpg;2;3;64.0166666666667;10.455;15.5316666666667;18.735;56.12;3;2.20767949592165;2.65702946079932;3.90506197514097;4.29468728650747;4.92408596593326;6.01198848597995;10.3504220156239;11.5313965136733;17.5810499919183;18.727829707565;26.1346962584124;26.2452085574152;1;1;[];FAUX;FAUX;1
1064;106403_81.jpg;2;2;64.0316666666667;11.0166666666667;16.7483333333333;20.055;56.7233333333333;2;2.36456743330296;3.09589243999206;3.96655200720121;4.353548361203;4.74831146222549;5.51890538663843;10.4641408606879;11.8154200094622;17.5313771805171;18.5438439920099;26.1892650819221;26.382809112501;1;1;[];FAUX;FAUX;1
4168;416803_81.jpg;1;1;64.0416666666667;11.4316666666667;14.46;18.5;51.6833333333333;1;2.90473805762612;3.23862196346257;2.97387124802383;3.51635306658602;5.75888837507694;6.88474924904475;10.2167906463731;11.3792884468035;17.6722244443398;18.8856931446944;26.1132322109715;26.2081209848313;1;1;[1. 2];VRAI;FAUX;1
4087;408703_81.jpg;3;3;64.0683333333333;9.96166666666667;14.6333333333333;17.7516666666667;55.6916666666667;1;2.18078704632145;2.67185017044993;4.04881743568828;4.61420812996842;5.14323457610381;6.57359997768853;10.3622855028744;11.4887270835371;17.6944455503838;18.9937160661099;26.1687660582462;26.2524713122403;1;1;[];FAUX;FAUX;1
1059;105903_81.jpg;2;2;64.07;10.35;17.165;20.0683333333333;58.9366666666667;3;2.26587742092999;3.04754409320029;4.63678280400413;5.01330479823439;4.48009117213569;5.2748104231337;10.6539650424822;12.0073154784906;17.5886901820705;18.6024386842156;26.2788555484217;26.4815034505218;1;1;[];FAUX;VRAI;1
3055;305503_81.jpg;2;2;64.1033333333333;10.69;14.5566666666667;18.07;53.6433333333333;3;2.43214586242446;2.82706365136847;3.50554106427293;4.07218887359394;5.44074127889848;6.71791303572438;10.3051455917584;11.4595224837493;17.7069442738591;18.9708765099443;26.1757056424067;26.2686249270029;1;1;[];FAUX;FAUX;1
4010;401003_81.jpg;1;1;64.1466666666667;10.425;13.4416666666667;17.07;52.3616666666667;1;2.70487134224827;3.28215968871446;3.53890677707719;4.45233708916514;5.86824406388027;7.50231779000478;10.3056033071977;11.4533694702573;17.8470192966521;19.298102814065;26.2039183654397;26.2906131326162;1;1;[];FAUX;FAUX;1
2044;204403_81.jpg;1;2;64.1516666666667;10.5566666666667;14.255;17.7466666666667;53.5233333333333;1;2.43545476262131;2.86348951844113;3.56316939753675;4.21736160281387;5.55002710042169;6.93857854479014;10.3352760162959;11.4862572474917;17.771982792225;19.0939808723994;26.2160650708036;26.3069098442891;1;1;[];FAUX;FAUX;1
