RESP_FINAL;VIDEOS;CATEGORY;SCF1R;SCF1_MOY;ETHNI_USR;HAIR_LENGTHR;HAIR_THICKNESSR;HAIR_TYPER;HAIR_GREYR;filename;eval_cluster;single_cluster;Image_SkinCluster
2266;1;Dark;2;42;2;3;4;4;2;226603_81.jpg;6;VRAI;5
1123;1;Dark;3;52;1;6;4;3;2;112303_81.jpg;3;FAUX;4
1010;1;Dark;3;50;1;6;3;3;3;101003_81.jpg;2;FAUX;2
2171;1;Dark;1;39;4;2;3;3;2;217103_81.jpg;2;VRAI;1
1073;1;Dark;4;68;1;5;3;3;4;107303_81.jpg;3;FAUX;3
1128;1;Medium;3;56;1;5;3;4;5;112803_81.jpg;3;FAUX;4
4020;1;Medium;3;56;1;7;3;3;2;402003_81.jpg;2;VRAI;1
1092;1;Dark;2;43;1;6;4;6;2;109203_81.jpg;4;VRAI;2
2194;1;Dark;2;44;4;3;2;3;2;219403_81.jpg;5;VRAI;4
4021;1;Light;1;25;1;6;4;4;1;402103_81.jpg;1;VRAI;1
1088;1;Medium;2;46;1;2;4;3;3;108803_81.jpg;2;FAUX;2
2016;1;Dark;1;31;1;7;1;2;1;201603_81.jpg;4;FAUX;3
1127;1;Dark;2;46;1;5;2;2;3;112703_81.jpg;4;VRAI;4
2019;1;Medium;2;48;1;6;2;3;1;201903_81.jpg;2;VRAI;1
2015;1;Medium;2;47;1;4;3;2;5;201503_81.jpg;3;VRAI;1
4060;1;Dark;2;47;4;7;3;6;1;406003_81.jpg;3;FAUX;1
2023;1;Dark;2;42;1;6;2;2;1;202303_81.jpg;2;VRAI;1
4022;1;Medium;1;36;1;6;3;3;2;402203_81.jpg;1;VRAI;1
4061;1;Medium;3;50;3;3;3;3;2;406103_81.jpg;3;VRAI;1
4062;1;Dark;1;32;4;6;3;3;1;406203_81.jpg;3;FAUX;1
4115;1;Dark;4;60;4;6;2;4;2;411503_81.jpg;4;FAUX;3
1064;1;Medium;3;58;1;4;4;3;2;106403_81.jpg;1;FAUX;2
1098;1;Light;2;48;1;2;2;3;1;109803_81.jpg;3;VRAI;3
1070;1;Medium;4;62;1;5;4;3;2;107003_81.jpg;3;FAUX;4
2024;1;Medium;4;66;1;2;3;3;1;202403_81.jpg;3;VRAI;3
1104;1;Dark;4;60;1;5;3;3;2;110403_81.jpg;4;FAUX;4
1005;1;Light;2;49;1;3;3;3;3;100503_81.jpg;1;VRAI;2
2267;1;Dark;4;60;2;3;3;3;2;226703_81.jpg;6;VRAI;6
1062;1;Light;4;67;1;4;2;3;2;106203_81.jpg;2;VRAI;2
1096;1;Medium;4;64;1;7;3;3;3;109603_81.jpg;4;FAUX;4
2025;1;Light;4;60;1;4;3;3;2;202503_81.jpg;1;VRAI;1
1089;1;Dark;3;54;1;4;2;6;3;108903_81.jpg;3;FAUX;4
2026;1;Light;1;29;1;5;2;3;2;202603_81.jpg;2;VRAI;2
1097;1;Medium;2;42;1;6;2;6;2;109703_81.jpg;4;FAUX;2
2214;1;Dark;2;44;2;3;2;3;1;221403_81.jpg;6;VRAI;6
1115;1;Medium;1;29;1;6;4;3;2;111503_81.jpg;2;FAUX;2
2213;1;Dark;2;46;2;4;4;3;1;221303_81.jpg;6;VRAI;6
2058;1;Medium;2;46;1;3;4;4;2;205803_81.jpg;2;FAUX;3
1050;1;Medium;2;49;1;6;2;6;3;105003_81.jpg;2;FAUX;2
2059;1;Dark;1;39;1;5;2;4;2;205903_81.jpg;3;VRAI;1
2212;1;Light;2;41;2;7;3;3;1;221203_81.jpg;5;VRAI;5
2028;1;Medium;3;53;1;4;4;4;2;202803_81.jpg;3;VRAI;1
2135;1;Light;4;62;1;4;1;6;2;213503_81.jpg;2;FAUX;1
1087;1;Dark;3;53;3;5;2;3;3;108703_81.jpg;3;VRAI;4
1125;1;Dark;3;53;1;4;4;3;3;112503_81.jpg;3;VRAI;4
1094;1;Dark;3;51;1;7;5;3;3;109403_81.jpg;4;FAUX;4
1067;1;Light;2;41;1;4;5;3;5;106703_81.jpg;2;VRAI;2
1014;1;Medium;1;37;1;7;2;3;2;101403_81.jpg;2;FAUX;2
2138;1;Dark;1;35;2;4;5;4;2;213803_81.jpg;4;FAUX;4
1132;1;Dark;2;45;1;5;2;3;1;113203_81.jpg;4;VRAI;4
2029;1;Dark;1;33;1;7;4;6;1;202903_81.jpg;1;FAUX;2
1057;1;Medium;3;50;1;5;2;3;2;105703_81.jpg;2;FAUX;2
2196;1;Dark;1;31;3;4;3;2;1;219603_81.jpg;4;FAUX;4
1013;1;Medium;3;56;1;6;4;4;2;101303_81.jpg;3;FAUX;3
2030;1;Medium;1;31;1;7;3;3;1;203003_81.jpg;1;VRAI;1
2211;1;Dark;4;60;2;3;3;3;3;221103_81.jpg;6;FAUX;6
1003;1;Light;3;50;1;5;3;3;2;100303_81.jpg;2;FAUX;2
1084;1;Dark;3;50;1;5;4;3;3;108403_81.jpg;3;VRAI;4
1082;1;Dark;1;25;1;6;3;3;1;108203_81.jpg;2;VRAI;2
