RESP_FINAL;filename;eval_cluster;single_cluster;Image_SkinCluster
2109;210903_81.jpg;2;FAUX;3
2096;209603_81.jpg;2;VRAI;2
3067;306703_81.jpg;2;VRAI;2
2169;216903_81.jpg;2;VRAI;2
3169;316903_81.jpg;3;VRAI;3
4107;410703_81.jpg;3;FAUX;3
4136;413603_81.jpg;3;FAUX;1
2008;200803_81.jpg;2;FAUX;3
4103;410303_81.jpg;3;VRAI;3
2095;209503_81.jpg;2;VRAI;1
2172;217203_81.jpg;2;VRAI;2
3173;317303_81.jpg;3;VRAI;4
4179;417903_81.jpg;2;FAUX;3
2035;203503_81.jpg;3;FAUX;3
2014;201403_81.jpg;2;FAUX;1
1067;106703_81.jpg;2;VRAI;2
1116;111603_81.jpg;3;FAUX;3
3019;301903_81.jpg;2;VRAI;2
2012;201203_81.jpg;2;VRAI;1
3003;300303_81.jpg;2;VRAI;2
4191;419103_81.jpg;2;FAUX;3
3102;310203_81.jpg;3;VRAI;4
4029;402903_81.jpg;2;VRAI;1
3120;312003_81.jpg;2;VRAI;2
4077;407703_81.jpg;2;FAUX;1
4126;412603_81.jpg;3;FAUX;3
4104;410403_81.jpg;3;VRAI;1
3073;307303_81.jpg;2;VRAI;2
4044;404403_81.jpg;2;VRAI;1
4099;409903_81.jpg;3;FAUX;1
4109;410903_81.jpg;3;FAUX;3
2121;212103_81.jpg;3;FAUX;1
4094;409403_81.jpg;3;FAUX;1
4069;406903_81.jpg;3;VRAI;1
2028;202803_81.jpg;3;VRAI;1
4086;408603_81.jpg;3;VRAI;1
3027;302703_81.jpg;2;VRAI;2
4149;414903_81.jpg;3;VRAI;3
2205;220503_81.jpg;2;VRAI;2
3007;300703_81.jpg;2;VRAI;2
4072;407203_81.jpg;3;VRAI;1
4070;407003_81.jpg;3;FAUX;1
4135;413503_81.jpg;2;FAUX;3
2105;210503_81.jpg;2;FAUX;2
2080;208003_81.jpg;2;VRAI;2
4051;405103_81.jpg;3;FAUX;1
2147;214703_81.jpg;2;VRAI;1
4200;420003_81.jpg;3;VRAI;3
4253;425303_81.jpg;3;VRAI;3
4005;400503_81.jpg;2;FAUX;1
2042;204203_81.jpg;3;FAUX;1
4081;408103_81.jpg;3;VRAI;3
3136;313603_81.jpg;3;FAUX;3
1076;107603_81.jpg;2;VRAI;2
4118;411803_81.jpg;2;VRAI;2
2074;207403_81.jpg;3;VRAI;3
3078;307803_81.jpg;2;VRAI;2
4231;423103_81.jpg;3;FAUX;1
2082;208203_81.jpg;2;VRAI;1
2020;202003_81.jpg;3;FAUX;1
3001;300103_81.jpg;2;VRAI;2
3054;305403_81.jpg;3;FAUX;4
3009;300903_81.jpg;3;FAUX;3
4079;407903_81.jpg;2;FAUX;1
3183;318303_81.jpg;3;FAUX;4
4203;420303_81.jpg;3;FAUX;1
3077;307703_81.jpg;2;VRAI;2
2103;210303_81.jpg;2;VRAI;2
4062;406203_81.jpg;3;FAUX;1
2102;210203_81.jpg;3;FAUX;3
2006;200603_81.jpg;2;VRAI;2
4052;405203_81.jpg;2;VRAI;1
4033;403303_81.jpg;3;FAUX;1
3103;310303_81.jpg;3;FAUX;3
2167;216703_81.jpg;3;FAUX;1
4119;411903_81.jpg;3;FAUX;3
3032;303203_81.jpg;3;FAUX;3
4041;404103_81.jpg;2;FAUX;1
4026;402603_81.jpg;2;FAUX;1
2019;201903_81.jpg;2;VRAI;1
2036;203603_81.jpg;3;FAUX;3
3048;304803_81.jpg;2;VRAI;2
4175;417503_81.jpg;3;FAUX;1
2144;214403_81.jpg;2;VRAI;2
2097;209703_81.jpg;2;FAUX;2
2064;206403_81.jpg;2;FAUX;2
2050;205003_81.jpg;2;VRAI;2
4085;408503_81.jpg;3;VRAI;1
4111;411103_81.jpg;3;FAUX;1
1017;101703_81.jpg;2;VRAI;2
2119;211903_81.jpg;3;VRAI;3
4245;424503_81.jpg;3;VRAI;1
4007;400703_81.jpg;2;VRAI;2
1027;102703_81.jpg;2;FAUX;2
1071;107103_81.jpg;2;VRAI;2
4113;411303_81.jpg;3;FAUX;1
2113;211303_81.jpg;3;FAUX;1
4199;419903_81.jpg;3;VRAI;1
3092;309203_81.jpg;3;FAUX;3
4201;420103_81.jpg;3;FAUX;1
4003;400303_81.jpg;2;VRAI;1
2158;215803_81.jpg;2;FAUX;3
2005;200503_81.jpg;3;VRAI;1
2171;217103_81.jpg;2;VRAI;1
3100;310003_81.jpg;2;VRAI;3
4182;418203_81.jpg;3;FAUX;1
2023;202303_81.jpg;2;VRAI;1
3145;314503_81.jpg;2;FAUX;3
2100;210003_81.jpg;2;FAUX;1
2132;213203_81.jpg;2;VRAI;1
4223;422303_81.jpg;3;VRAI;1
3066;306603_81.jpg;2;VRAI;2
2150;215003_81.jpg;3;FAUX;3
4096;409603_81.jpg;2;FAUX;1
4092;409203_81.jpg;3;FAUX;1
4202;420203_81.jpg;3;FAUX;1
4204;420403_81.jpg;2;FAUX;3
3068;306803_81.jpg;2;VRAI;2
2091;209103_81.jpg;2;VRAI;1
2154;215403_81.jpg;2;VRAI;1
2168;216803_81.jpg;2;VRAI;2
4196;419603_81.jpg;2;VRAI;1
3123;312303_81.jpg;2;FAUX;3
3156;315603_81.jpg;2;VRAI;3
1075;107503_81.jpg;2;FAUX;2
1093;109303_81.jpg;3;FAUX;3
3160;316003_81.jpg;2;VRAI;3
3119;311903_81.jpg;2;VRAI;2
3152;315203_81.jpg;3;FAUX;3
4121;412103_81.jpg;3;FAUX;1
3037;303703_81.jpg;2;VRAI;3
4237;423703_81.jpg;3;VRAI;1
2026;202603_81.jpg;2;VRAI;2
2110;211003_81.jpg;3;FAUX;3
3030;303003_81.jpg;2;FAUX;3
1062;106203_81.jpg;2;VRAI;2
4042;404203_81.jpg;2;VRAI;1
4095;409503_81.jpg;3;VRAI;1
3085;308503_81.jpg;2;VRAI;3
1016;101603_81.jpg;2;VRAI;2
2101;210103_81.jpg;2;VRAI;2
3115;311503_81.jpg;2;VRAI;3
2059;205903_81.jpg;3;VRAI;1
4230;423003_81.jpg;3;FAUX;1
1035;103503_81.jpg;3;FAUX;2
3076;307603_81.jpg;3;VRAI;4
2076;207603_81.jpg;2;FAUX;3
4089;408903_81.jpg;2;FAUX;1
3130;313003_81.jpg;3;FAUX;4
4144;414403_81.jpg;3;FAUX;1
4129;412903_81.jpg;3;VRAI;3
3063;306303_81.jpg;2;VRAI;2
3155;315503_81.jpg;2;FAUX;2
4189;418903_81.jpg;3;FAUX;1
1055;105503_81.jpg;3;FAUX;2
4192;419203_81.jpg;3;FAUX;1
3023;302303_81.jpg;2;VRAI;2
4117;411703_81.jpg;3;FAUX;1
4247;424703_81.jpg;3;FAUX;3
4190;419003_81.jpg;3;VRAI;1
2032;203203_81.jpg;3;FAUX;3
4065;406503_81.jpg;2;VRAI;1
3084;308403_81.jpg;3;VRAI;4
2004;200403_81.jpg;2;VRAI;3
4060;406003_81.jpg;3;FAUX;1
4078;407803_81.jpg;3;FAUX;1
2039;203903_81.jpg;2;FAUX;2
3071;307103_81.jpg;2;VRAI;3
3056;305603_81.jpg;2;VRAI;3
1056;105603_81.jpg;2;FAUX;2
3034;303403_81.jpg;2;VRAI;2
4080;408003_81.jpg;3;FAUX;1
3099;309903_81.jpg;2;VRAI;2
3043;304303_81.jpg;2;VRAI;2
4106;410603_81.jpg;3;FAUX;1
4124;412403_81.jpg;2;FAUX;3
1050;105003_81.jpg;2;FAUX;2
3093;309303_81.jpg;3;FAUX;4
4054;405403_81.jpg;2;VRAI;1
